"Story","Title","Result","Date","Stability","Duration (s)"
"Consulta de informacion del comercio en Wompi","Consulta exitosa de informacion del comercio con llave publica valida","ERROR","2025-08-06T21:11:09.2850327-05:00[America/Bogota]","0.0","2.44"
"Consulta de informacion del comercio en Wompi","Consulta fallida sin llave publica","FAILURE","2025-08-06T21:11:12.0872043-05:00[America/Bogota]","0.0","1.86"
